PLZ,Ort,Kanton
1914,Auddes-sur-Riddes,Wallis
1914,Isérables,Wallis
1918,La Tzoumaz,Wallis
1920,Martigny,Wallis
1921,Martigny-Croix,Wallis
1922,Les Granges (Salvan),Wallis
1922,Salvan,Wallis
1923,Le Trétien,Wallis
1923,Les Marécottes,Wallis
1925,Le Châtelard VS,Wallis
1925,Finhaut,Wallis
1926,Fully,Wallis
1927,Chemin,Wallis
1928,Ravoire,Wallis
1929,Trient,Wallis
1932,Les Valettes (Bovernier),Wallis
1932,Bovernier,Wallis
1933,Vens (Sembrancher),Wallis
1933,Chamoille (Sembrancher),Wallis
1933,La Garde (Sembrancher),Wallis
1933,Sembrancher,Wallis
1934,Bruson,Wallis
1934,Cotterg (Le Châble VS),Wallis
1934,Villette (Le Châble VS),Wallis
1934,Fontenelle (Le Châble VS),Wallis
1934,Montagnier (Le Châble VS),Wallis
1934,Le Châble VS,Wallis
1936,Verbier,Wallis
1937,Orsières,Wallis
1938,Champex-Lac,Wallis
1941,Cries (Vollèges),Wallis
1941,Vollèges,Wallis
1942,Levron,Wallis
1943,Praz-de-Fort,Wallis
1944,La Fouly VS,Wallis
1945,Liddes,Wallis
1945,Fontaine Dessus (Liddes),Wallis
1945,Fontaine Dessous (Liddes),Wallis
1945,Dranse (Liddes),Wallis
1945,Chandonne (Liddes),Wallis
1945,Rive Haute (Liddes),Wallis
1945,Fornex (Liddes),Wallis
1945,Les Moulins VS (Liddes),Wallis
1945,Vichères (Liddes),Wallis
1945,Palasuit (Liddes),Wallis
1945,Chez Petit (Liddes),Wallis
1945,Petit Vichères (Liddes),Wallis
1946,Bourg-St-Pierre,Wallis
1947,Prarreyer (Versegères),Wallis
1947,Les Places (Versegères),Wallis
1947,La Montoz (Versegères),Wallis
1947,Champsec (Versegères),Wallis
1947,Le Fregnoley (Versegères),Wallis
1947,Versegères,Wallis
1948,Lourtier,Wallis
1948,Fionnay,Wallis
1948,Sarreyer,Wallis
1948,Le Planchamp (Lourtier),Wallis
1948,Le Morgnes (Lourtier),Wallis
1950,Sion,Wallis
1955,St-Pierre-de-Clages,Wallis
1955,Les Vérines (Chamoson),Wallis
1955,Némiaz (Chamoson),Wallis
1955,Grugnay (Chamoson),Wallis
1955,Chamoson,Wallis
1957,Ardon,Wallis
1958,Uvrier,Wallis
1958,St-Léonard,Wallis
1961,Vernamiège,Wallis
1962,Pont-de-la-Morge (Sion),Wallis
1963,Vétroz,Wallis
1964,Conthey,Wallis
1965,Chandolin-près-Savièse,Wallis
1965,Drône VS,Wallis
1965,Roumaz (Savièse),Wallis
1965,Granois (Savièse),Wallis
1965,St-Germain (Savièse),Wallis
1965,Ormône (Savièse),Wallis
1965,Mayens-de-la-Zour (Savièse),Wallis
1965,Monteiller-Savièse,Wallis
1965,Savièse,Wallis
