Gemeinde,Kanton,Einwohner,Fläche
Dompierre (VD),VD,245,3.25
Donneloye,VD,828,8.97
Doppleschwand,LU,816,6.95
Dorénaz,VS,1040,12.54
Dorf,ZH,666,5.54
Dörflingen,SH,1010,5.78
Dornach,SO,6882,5.74
Dottikon,AG,3932,3.91
Döttingen,AG,4244,6.96
Dotzigen,BE,1490,4.23
Dozwil,TG,683,1.27
Drei Höfe,SO,748,4.57
Dübendorf,ZH,29907,13.62
Düdingen,FR,8300,30.76
Duggingen,BL,1554,5.91
Duillier,VD,1131,4.05
Dulliken,SO,5083,6.01
Dully,VD,624,1.64
Dürnten,ZH,7645,10.21
Dürrenäsch,AG,1329,5.90
Dürrenroth,BE,1052,14.06
Ebikon,LU,14066,9.72
Ebnat-Kappel,SG,5007,43.51
Echallens,VD,5729,6.69
Echandens,VD,2735,3.87
Echarlens,FR,847,4.62
Echichens,VD,3127,13.27
Eclépens,VD,1218,5.82
Ecublens (FR),FR,356,4.86
Ecublens (VD),VD,13157,5.73
Ederswiler,JU,118,3.34
Egerkingen,SO,4041,6.93
Egg,ZH,8829,14.51
Eggenwil,AG,1042,2.52
Eggerberg,VS,324,6.09
Eggersriet,SG,2334,8.91
Eggiwil,BE,2486,60.25
Eglisau,ZH,5491,9.10
Egliswil,AG,1484,6.34
Egnach,TG,4789,18.48
Egolzwil,LU,1530,4.15
Ehrendingen,AG,4880,7.28
Eich,LU,1600,5.91
Eichberg,SG,1554,5.50
Eiken,AG,2331,7.01
Einsiedeln,SZ,16247,99.00
Eischoll,VS,450,14.06
Eisten,VS,188,37.94
Elgg,ZH,4960,24.38
Ellikon an der Thur,ZH,936,4.97
Elsau,ZH,3657,8.04
Embd,VS,280,13.36
Embrach,ZH,9610,12.72
Emmen,LU,31039,20.38
Emmetten,NW,1541,25.05
Endingen,AG,2597,11.85
Engelberg,OW,4194,74.89
Enges,NE,266,9.56
Ennetbaden,AG,3486,2.13
Ennetbürgen,NW,4866,9.40
Ennetmoos,NW,2254,14.09
Entlebuch,LU,3230,56.97
Epalinges,VD,9769,4.61
Ependes (VD),VD,389,4.80
Eppenberg-Wöschnau,SO,311,1.81
Epsach,BE,326,3.39
Eptingen,BL,543,11.21
Ergisch,VS,177,29.52
Eriswil,BE,1358,11.30
Eriz,BE,485,21.79
Erlach,BE,1386,3.44
Erlen,TG,3802,12.23
Erlenbach (ZH),ZH,5606,2.97
Erlenbach im Simmental,BE,1724,36.67
Erlinsbach (AG),AG,4400,9.87
Erlinsbach (SO),SO,3572,8.85
Ermatingen,TG,3640,10.42
Ermensee,LU,1029,5.72
Ernen,VS,518,35.36
Erschwil,SO,948,7.47
Ersigen,BE,2063,15.46
Erstfeld,UR,3861,59.05
Eschenbach (LU),LU,3677,13.20
Eschenbach (SG),SG,9614,54.92
Eschenz,TG,1868,12.02
Eschert,BE,377,6.58
Eschlikon,TG,4577,6.20
Escholzmatt-Marbach,LU,4349,106.34
Essertines-sur-Rolle,VD,741,7.01
Essertines-sur-Yverdon,VD,1037,9.76
Estavayer,FR,9988,44.89
Etagnières,VD,1146,3.76
Etoy,VD,2906,4.92
Ettingen,BL,5448,6.37
Ettiswil,LU,2792,12.52
Etziken,SO,973,3.37
Evilard,BE,2672,3.67
Evionnaz,VS,1345,48.07
Evolène,VS,1647,209.83
Eysins,VD,1738,2.36
Fahrni,BE,811,6.66
Fahrwangen,AG,2338,3.98
Fahy,JU,347,7.76
Faido,TI,2823,132.44
Falera,GR,625,22.35
Fällanden,ZH,8934,6.36
Faoug,VD,879,3.49
Farnern,BE,227,3.65
Féchy,VD,871,2.69
Fehraltorf,ZH,6574,9.50
Fehren,SO,595,1.48
Felben-Wellhausen,TG,2874,7.38
Feldbrunnen-St. Niklaus,SO,975,2.50
Felsberg,GR,2640,13.39
Ferden,VS,247,27.90
Ferenbalm,BE,1214,9.16
Ferpicloz,FR,267,1.02
Ferrera,GR,79,75.44
Ferreyres,VD,319,3.19
Fétigny,FR,1080,4.07
Feuerthalen,ZH,3697,2.50
Feusisberg,SZ,5427,17.49
Fey,VD,749,7.43
Fideris,GR,595,25.33
Fiesch,VS,909,11.04
Fieschertal,VS,326,172.79
Fiez,VD,451,6.81
Finhaut,VS,381,22.80
Finsterhennen,BE,562,3.57
Fischbach,LU,702,8.04
Fischbach-Göslikon,AG,1672,3.09
Fischenthal,ZH,2501,30.17
Fischingen,TG,2836,30.66
Fisibach,AG,543,5.72
Fislisbach,AG,5578,5.12
Flaach,ZH,1430,10.20
Fläsch,GR,831,19.95
Flawil,SG,10510,11.48
Flerden,GR,247,6.07
Flims,GR,2915,50.46
Flüelen,UR,2025,12.41
Flühli,LU,1836,108.09
Flumenthal,SO,1052,3.08
Flums,SG,4964,75.18
Flurlingen,ZH,1552,2.41
Fontaines-sur-Grandson,VD,219,7.93
Fontenais,JU,1690,19.97
Forel (Lavaux),VD,2107,18.48
Forst-Längenbühl,BE,769,4.53
Founex,VD,3874,4.78
Fräschels,FR,456,3.14
Fraubrunnen,BE,5203,31.97
Frauenfeld,TG,25974,27.38
Frauenkappelen,BE,1320,9.28
Freienbach,SZ,16520,13.82
Freienstein-Teufen,ZH,2397,8.34
Freienwil,AG,1110,4.00
Freimettigen,BE,461,2.96
Frenkendorf,BL,6481,4.61
Fribourg,FR,38039,9.33
Frick,AG,5629,9.97
Froideville,VD,2695,7.02
Frutigen,BE,6967,72.30
Fulenbach,SO,1772,4.47
Full-Reuenthal,AG,883,4.86
Füllinsdorf,BL,4549,4.63
Fully,VS,8793,37.85
Furna,GR,207,33.25
Fürstenau,GR,350,1.30
Gächlingen,SH,903,7.21
Gachnang,TG,4483,9.83
Gais,AR,3066,21.21
Gaiserwald,SG,8389,12.64
Galgenen,SZ,5277,13.22
Gals,BE,828,7.90
Gambarogno,TI,5163,51.71
Gampel-Bratsch,VS,1997,23.05
Gampelen,BE,950,10.56
Gams,SG,3587,22.28
Gansingen,AG,1066,8.78
Gebenstorf,AG,5514,5.68
Gelterkinden,BL,6218,9.77
Geltwil,AG,221,3.27
Gempen,SO,904,5.97
Genève,GE,203856,15.89
